country,currency,to-usd,last_update
US,USD,1,15/10/2021
MX,MXN,20.34,15/10/2021
IN,INR,75.04,15/10/2021
AE,ARE,3.67,15/10/2021
AU,AUD,1.35,15/10/2021
HK,HKD,7.78,15/10/2021
CA,CAD,1.24,15/10/2021
DE,EUR,0.86,15/10/2021
JP,JPY,114.38,15/10/2021
